# ==============================================================================
# List	of	protein-ligand	known
# 17679	protein-ligand	complexes	sorted
# Latest	update:	Dec
# PDB code,	-logKd/Ki,	Kd/Ki,	name
# ==============================================================================
3zzf	0.40	Ki=400mM	(NLG)
3gww	0.45	IC50=355mM	(SFX)
1w8l	0.49	Ki=320mM	(1P3)
3fqa	0.49	IC50=320mM	(GAB&PMP)
1zsb	0.60	Kd=250mM	(AZM)
4obv	0.75	Ki=178mM	(2SU)
1wkm	0.82	Ki=150mM	(MET)
3k41	0.82	Kd=150mM	(M6D)
4eu3	0.82	Ki=150mM	(CIT)
2w97	0.96	Kd=110mM	(GOL)
1p0y	1.00	Ki=100.8mM	(MLZ)
2b1r	1.00	Ki=101mM	(CBI)
2d2v	1.00	Ki=100mM	(MAL)
1aw1	1.05	Ki=89mM	(PGA)
1maw	1.10	Kd=80mM	(ATP)
3fl9	1.11	IC50=77.2mM	(TOP)
5eb2	1.11	Kd=76.9mM	(TRP)
4lh2	1.24	Ki=58mM	(SIN)
4to8	1.24	IC50=56.9mM	(FLC)
4fci	1.26	Ki~55mM	(GPA)
4fck	1.26	Ki~55mM	(GPA)
4clp	1.27	Kd=54.2mM	(CMP)
1f9g	1.28	Ki=53mM	(ASC)
1a0t	1.30	Kd=50mM	(SUC)
1b74	1.30	Ki=50mM	(DGN)
2fah	1.30	Ki>50mM	(MLA)
5oxm	1.30	Kd>50mM	(2-mer)
2igw	1.31	Kd=49mM	(2-mer)
5mnc	1.31	Kd=48.5mM	(ANL)
5mny	1.31	Kd=48.5mM	(WOT)
5moo	1.31	Kd=48.5mM	(WOT)
2vl1	1.35	Ki=45mM	(2-mer)
3nm6	1.35	Kd=45mM	(TRS)
1qpb	1.36	Kd=44mM	(PYM)
1hty	1.40	IC50=40mM	(TRS)
1o4l	1.40	IC50>40mM	(CIT)
1o4m	1.40	IC50>40mM	(MLA)
1o4n	1.40	IC50>40mM	(OXD)
2hdq	1.40	Ki=40mM	(C21)
3eor	1.40	Kd=40mM	(CFV)
3e81	1.43	Ki=37mM	(SLB)
1ozv	1.44	Ki=36.6mM	(LYS)
1utp	1.44	Kd=36mM	(PBN)
